STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,12/27/2000,14.09,0.02,43,37,1,,,,,,,,,,,1,1,,1,,,
USW00012918,12/28/2000,10.74,0,55,37,,,,,,,,,,,,,,,,,,
USW00012918,12/29/2000,11.63,0,55,39,,,,,,,,,,,,,,,,,,
USW00012918,12/30/2000,5.14,0,52,30,,,,,,,,,,,,,,,,,,
USW00012918,12/31/2000,11.18,0.22,46,34,1,,,,,,,,,,,1,,,1,,,
USW00012918,1/1/2001,13.87,0.04,39,34,,,,,,,,,,,,,,,1,,,
USW00012918,1/2/2001,14.09,0,38,30,,,,,,,,,,,,,,,,,,
USW00012918,1/3/2001,7.38,0,43,29,,,,,,,,,,,,,,,,,,
USW00012918,1/4/2001,4.47,0,65,30,,,,,,,,,,,,,,,,,,
USW00012918,1/5/2001,5.59,0,70,36,,,,,,,,,,,,,,,,,,
USW00012918,1/6/2001,4.7,0,71,37,1,,,,,,,,,,,1,,,,,,1
USW00012918,1/7/2001,7.61,0.45,66,52,1,1,,,,,,,,,,1,,,1,,,
USW00012918,1/8/2001,10.07,0,60,39,,,,,,,,,,,,,,,,,,
USW00012918,1/9/2001,4.25,0,61,36,,,,,,,,,,,,,,,,,,
USW00012918,1/10/2001,13.42,1.35,50,44,1,,1,,,,,,,,,1,,,1,,,
USW00012918,1/11/2001,8.28,0,57,45,1,,,,,,,,,,,1,,,,,,
USW00012918,1/12/2001,6.04,0,49,44,1,,,,,,,1,,,,1,,,,,,
USW00012918,1/13/2001,9.17,0.08,57,47,1,,,,,,,,,,,1,,,1,,,
USW00012918,1/14/2001,4.7,0,69,54,1,1,,,,,,,,,,1,,,1,,,
USW00012918,1/15/2001,9.4,0,59,50,,,,,,,,,,,,,,,1,,,
USW00012918,1/16/2001,11.63,1.31,55,49,1,,,,,,,,,,,1,1,,1,,,
USW00012918,1/17/2001,10.51,0.23,55,45,1,1,,,,,,,,,,1,1,,1,,,
USW00012918,1/18/2001,13.2,0.23,45,42,1,,,,,,,,,,,1,1,,1,,,
USW00012918,1/19/2001,14.76,0.09,51,41,,,,,,,,,,,,,,,1,,,
USW00012918,1/20/2001,5.59,0,51,29,,,,,,,,,,,,,,,,,,
USW00012918,1/21/2001,5.82,0.1,55,31,1,,,,,,,,,,,1,,,1,,,
USW00012918,1/22/2001,4.25,0,55,35,,,,,,,,,,,,,,,,,,
USW00012918,1/23/2001,6.04,0,57,35,1,,,,,,,,,,,1,,,,,,
USW00012918,1/24/2001,2.46,0.1,63,44,1,,,,,,,,,,,1,,,1,,,1
USW00012918,1/25/2001,5.82,0,64,40,1,,,,,,,1,,,,1,,,,,,1
USW00012918,1/26/2001,6.26,0,74,52,1,,,,,,,,,,,1,,,1,,,
USW00012918,1/27/2001,9.17,0,74,57,1,1,,,,,,,,,,1,,,,,,
USW00012918,1/28/2001,10.96,0,72,60,1,,,,,,,,,,,1,,,,,,
USW00012918,1/29/2001,11.41,0.57,69,49,1,,,,,,,,,,,1,,,1,,,
USW00012918,1/30/2001,7.61,0,76,49,,,,,,,,,,,,,,,,,,
USW00012918,1/31/2001,11.41,0,61,51,,,,,,,,,,,,,,,,,,
USW00012918,2/1/2001,8.05,0.01,56,47,,,,,,,,,,,,,,,1,,,
USW00012918,2/2/2001,9.84,0,56,45,,,,,,,,,,,,,,,,,,
USW00012918,2/3/2001,2.91,0,59,42,,,,,,,,,,,,,,,,,,
USW00012918,2/4/2001,5.59,0,68,38,,,,,,,,,,,,,,,,,,
USW00012918,2/5/2001,6.93,0,67,42,,,,,,,,,,,,,,,,,,
USW00012918,2/6/2001,7.16,0,74,46,1,,,,,,,1,,,,1,,,,,,1
USW00012918,2/7/2001,8.95,0,72,56,1,,,,,,,,,,,1,,,,,,1
USW00012918,2/8/2001,13.87,0,75,67,,,,,,,,,,,,,1,,1,,,
USW00012918,2/9/2001,14.09,0.06,70,45,1,,,,,,,,,,1,1,,,1,,,
USW00012918,2/10/2001,11.41,0,54,35,,,,,,,,,,,,,,,,,,
USW00012918,2/11/2001,9.4,0,51,47,,,,,,,,,,,,,,,1,,,
USW00012918,2/12/2001,7.61,0.01,65,51,1,1,,,,,,,,,,1,,,1,,,
USW00012918,2/13/2001,7.61,0,76,61,1,1,,,,,,,,,,1,1,,1,,,
USW00012918,2/14/2001,9.84,0,77,66,1,1,,,,,,,,,,1,,,,,,
USW00012918,2/15/2001,9.62,0,76,69,1,,,,,,,,,,,1,1,,1,,,
USW00012918,2/16/2001,15.66,0.15,71,45,,,,,,,,,,,,,,,1,,,
USW00012918,2/17/2001,10.74,0,55,41,,,,,,,,,,,,,,,,,,
USW00012918,2/18/2001,7.16,0,60,38,,,,,,,,,,,,,,,,,,
USW00012918,2/19/2001,7.38,0,68,45,1,,,,,,,,,,,1,,,,,,
USW00012918,2/20/2001,6.49,0,76,56,1,1,,,,,,,,,,1,,,,,,
USW00012918,2/21/2001,5.82,0,75,64,1,,,,,,,,,,,1,1,,1,,,
USW00012918,2/22/2001,7.38,0,67,57,1,,,,,,,,,,,1,,,,,,
USW00012918,2/23/2001,11.86,0,70,58,1,,,,,,,,,,,1,1,,1,,,
USW00012918,2/24/2001,14.09,0.01,77,68,,,,,,,,,,,,,,,1,,,
USW00012918,2/25/2001,6.71,0,81,64,,,,,,,,,,,,,,,,,,
USW00012918,2/26/2001,8.05,0.23,72,63,1,,,,,,,,,,,1,1,,1,,,
USW00012918,2/27/2001,8.95,0,82,65,1,,,,,,,,,,,1,1,,1,,,
USW00012918,2/28/2001,7.61,0.02,70,55,1,1,,,,,,,,,,1,,,1,,,
USW00012918,3/1/2001,8.5,0.34,56,50,1,,1,,,,,,,,,1,1,,1,,,
USW00012918,3/2/2001,6.93,0.45,57,51,1,,1,,,,,,,,,1,,,1,,,
USW00012918,3/3/2001,10.07,0.49,56,47,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/4/2001,7.61,0,69,43,1,,,,,,,1,,,,1,,,,,,1
USW00012918,3/5/2001,6.49,0,71,46,,,,,,,,,,,,,,,,,,
USW00012918,3/6/2001,3.36,0,66,45,,,,,,,,,,,,,,,,,,
USW00012918,3/7/2001,5.37,0,70,45,1,,,,,,,1,,,,1,,,,,,
USW00012918,3/8/2001,8.05,0.97,67,52,1,,1,,,,,,,,,1,,,1,,,
USW00012918,3/9/2001,10.29,0,66,50,,,,,,,,,,,,,,,,,,
USW00012918,3/10/2001,8.05,0,67,45,1,,,,,,,,,,,,,,,,,1
USW00012918,3/11/2001,8.28,0.02,70,61,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/12/2001,6.93,0.13,82,57,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/13/2001,5.14,0,77,51,,,,,,,,,,,,,,,1,,,
USW00012918,3/14/2001,9.4,1.26,67,52,1,,1,,,,,,,,,1,,,1,,,
USW00012918,3/15/2001,11.63,0,71,52,1,1,,,,,,,,,,1,,,,,,
USW00012918,3/16/2001,10.07,0,69,47,,,,,,,,,,,,,,,,,,
USW00012918,3/17/2001,12.3,0,63,50,,,,,,,,,,,,,,,,,,
USW00012918,3/18/2001,8.95,0.02,66,45,,,,,,,,,,,,,,,1,,,
