"","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE"
"15693",2013-07-07,1500,"BRONX",NA,47,0,NA,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK"
"15694",2015-05-25,75480,"BROOKLYN",NA,75,0,NA,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK"
"15695",2006-05-30,66720,"BROOKLYN",NA,77,2,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","18-24","M","WHITE HISPANIC"
"15696",2012-12-21,37500,"BROOKLYN",NA,67,0,NA,"PVT HOUSE",TRUE,NA,NA,NA,"25-44","M","BLACK"
"15697",2012-04-09,45060,"BRONX",NA,48,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC"
"15698",2021-10-14,8880,"MANHATTAN",NA,25,0,NA,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK"
"15699",2009-08-30,18000,"STATEN ISLAND",NA,120,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15700",2016-12-09,6600,"MANHATTAN",NA,28,2,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","18-24","F","WHITE HISPANIC"
"15701",2021-08-14,780,"BROOKLYN",NA,79,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15702",2015-12-13,1680,"BROOKLYN",NA,79,2,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK"
"15703",2006-10-15,63600,"QUEENS",NA,113,0,NA,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK"
"15704",2012-06-30,13200,"QUEENS",NA,114,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15705",2017-10-20,82260,"BRONX",NA,52,0,NA,NA,FALSE,"25-44","M","WHITE HISPANIC","45-64","M","BLACK"
"15706",2021-06-30,7680,"BRONX",NA,40,0,NA,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK HISPANIC"
"15707",2011-06-10,15060,"BRONX",NA,43,0,NA,NA,FALSE,"18-24","M","BLACK","25-44","F","WHITE HISPANIC"
"15708",2016-02-18,58200,"BROOKLYN",NA,77,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15709",2010-04-09,58320,"BROOKLYN",NA,73,0,NA,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15710",2017-07-19,7200,"MANHATTAN",NA,23,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15711",2022-04-09,18240,"BROOKLYN","OUTSIDE",71,0,"COMMERCIAL","GAS STATION",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15712",2012-03-20,71700,"BROOKLYN",NA,77,0,NA,NA,TRUE,NA,NA,NA,"18-24","M","BLACK"
"15713",2013-10-31,70200,"BROOKLYN",NA,75,0,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"45-64","M","BLACK"
"15714",2018-06-11,60120,"STATEN ISLAND",NA,120,0,NA,NA,FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK"
"15715",2010-08-07,4800,"BRONX",NA,48,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC"
"15716",2017-04-03,53820,"QUEENS",NA,113,0,NA,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"15717",2011-08-05,6000,"QUEENS",NA,101,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15718",2016-10-30,21840,"MANHATTAN",NA,7,0,NA,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC"
"15719",2008-11-16,76440,"BRONX",NA,48,0,NA,NA,FALSE,"18-24","F","BLACK","25-44","M","WHITE HISPANIC"
"15720",2010-08-16,59400,"BRONX",NA,52,0,NA,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC"
"15721",2006-07-07,76380,"BROOKLYN",NA,79,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","<18","F","BLACK"
"15722",2016-07-17,8220,"BROOKLYN",NA,67,0,NA,NA,TRUE,NA,NA,NA,"18-24","M","BLACK"
"15723",2007-05-08,76680,"BROOKLYN",NA,81,0,NA,NA,FALSE,NA,"M","BLACK","25-44","M","WHITE HISPANIC"
"15724",2014-05-06,18420,"BROOKLYN",NA,90,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","BLACK","18-24","M","BLACK"
"15725",2012-07-29,10200,"MANHATTAN",NA,23,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15726",2016-08-13,17700,"QUEENS",NA,103,0,NA,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15727",2014-01-19,19200,"BROOKLYN",NA,90,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15728",2010-04-03,14400,"STATEN ISLAND",NA,120,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","WHITE HISPANIC","25-44","M","BLACK"
"15729",2018-12-23,74760,"MANHATTAN",NA,25,0,NA,NA,FALSE,"<18","M","BLACK","<18","M","BLACK"
"15730",2016-08-14,84180,"BRONX",NA,48,0,NA,NA,FALSE,"45-64","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC"
"15731",2012-07-07,4500,"BROOKLYN",NA,69,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15732",2018-07-17,66000,"BROOKLYN",NA,73,1,NA,NA,FALSE,"18-24","M","BLACK","45-64","M","BLACK"
"15733",2013-10-05,5940,"QUEENS",NA,113,0,NA,NA,TRUE,NA,NA,NA,"25-44","M","BLACK"
"15734",2006-07-23,4380,"BROOKLYN",NA,73,0,NA,NA,FALSE,"<18","M","BLACK","45-64","M","BLACK"
"15735",2022-08-29,13440,"QUEENS","OUTSIDE",109,0,"VEHICLE","(null)",FALSE,NA,NA,NA,"18-24","F","BLACK"
"15736",2015-09-04,18420,"BROOKLYN",NA,71,0,NA,NA,TRUE,NA,NA,NA,"25-44","M","BLACK"
"15737",2021-08-07,83880,"BROOKLYN",NA,75,0,NA,NA,TRUE,"18-24","M","BLACK","18-24","F","BLACK"
"15738",2020-09-10,5940,"BROOKLYN",NA,73,2,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK"
"15739",2022-04-27,58200,"QUEENS","OUTSIDE",107,0,"STREET","(null)",FALSE,"18-24","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER"
"15740",2006-06-25,54840,"BROOKLYN",NA,75,0,NA,NA,FALSE,NA,"M","BLACK","25-44","F","BLACK"
