STATION,DATE,AWND,PRCP,TMAX,TMIN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,4/26/1999,9.62,0.38,83,63,360,147,1,,1,,,,,,,,,1,,,1,,,
USW00012918,4/27/1999,5.59,0,88,61,240,17,1,,,,,,,,,,,1,,,,,,
USW00012918,4/28/1999,6.04,0,89,70,140,16.1,1,1,,,,,,,,,,1,,,,,,
USW00012918,4/29/1999,5.59,0,88,65,70,17.9,1,1,,,,,,,,,,1,,,,,,
USW00012918,4/30/1999,11.41,0,80,64,60,23.9,,,,,,,,,,,,,,,,,,
USW00012918,5/1/1999,11.41,0,77,65,110,25.9,,,,,,,,,,,,,,,,,,
USW00012918,5/2/1999,8.28,0,80,64,160,23,,,,,,,,,,,,,,,,,,
USW00012918,5/3/1999,10.29,0.01,79,69,150,23,1,,,,,,,,,,,1,,,1,,,
USW00012918,5/4/1999,12.53,0.1,84,73,160,25.1,1,,,,,,,1,,,,1,,,1,,,
USW00012918,5/5/1999,8.5,0,92,71,140,21,1,,,,,,,1,,,,1,,,,,,
USW00012918,5/6/1999,8.95,0,86,62,20,23,,,,,,,,,,,,,,,,,,
USW00012918,5/7/1999,6.26,0,88,59,350,16.1,,,,,,,,,,,,,,,,,,
USW00012918,5/8/1999,4.7,0,89,61,140,17.9,1,,,,,,,,,,,,,,,,,1
USW00012918,5/9/1999,9.4,0,85,73,130,19.9,1,,,,,,,,,,,1,,,,,,
USW00012918,5/10/1999,12.3,2.5,84,64,300,42.9,1,,1,1,1,,,,,,,1,,,1,,,
USW00012918,5/11/1999,9.62,0,84,68,160,23.9,,,,,,,,,,,,,,,,,,
USW00012918,5/12/1999,6.71,2.57,81,66,20,38.9,1,,1,,,,,,,,,1,,,1,,,
USW00012918,5/13/1999,3.36,0,86,67,160,11,1,,,,,,,,,,,1,,,,,,
USW00012918,5/14/1999,6.71,0,87,70,150,17.9,1,1,,,,,,,,,,1,,,,,,
USW00012918,5/15/1999,8.72,0,87,74,150,21.9,,,,,,,,,,,,,,,,,,
USW00012918,5/16/1999,10.07,0,87,76,160,23,,,,,,,,,,,,,,,,,,
USW00012918,5/17/1999,11.18,0,86,69,20,48.1,,,1,,,,,,,,1,,,,1,,,
USW00012918,5/18/1999,9.84,0,85,67,40,21.9,,,,,,,,,,,,,,,1,,,
